Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
184,Nicholls St. (Southland),106,11-16,"1,321",565,"3,791",0.199
185,N.C. A&T (MEAC),112,16-14,"1,377",624,"3,776",0.199
186,Furman (SoCon),109,7-20,"1,322",555,"3,852",0.199
187,St. Francis Brooklyn (NEC),119,14-17,"1,402",568,"4,195",0.199
188,Appalachian St. (Sun Belt),116,13-17,"1,485",655,"4,177",0.199
189,Morgan St. (MEAC),114,17-13,"1,427",627,"4,031",0.198
190,Harvard (Ivy League),88,5-18,"1,033",457,"2,906",0.198
191,UTEP (C-USA),106,13-15,"1,267",586,"3,446",0.198
192,Stony Brook (America East),96,9-17,"1,167",491,"3,427",0.197
193,UAB (C-USA),98,12-15,"1,225",534,"3,513",0.197
194,UMBC (America East),88,7-16,"1,054",472,"2,961",0.197
195,Oakland (Horizon),108,15-14,"1,375",595,"3,986",0.196
196,Wofford (SoCon),116,15-16,"1,425",649,"3,969",0.196
197,Arkansas St. (Sun Belt),116,17-13,"1,473",653,"4,198",0.195
198,New Orleans (Southland),111,13-18,"1,413",644,"3,939",0.195
199,Canisius (MAAC),123,15-16,"1,468",584,"4,529",0.195
200,Ohio St. (Big Ten),114,15-17,"1,538",709,"4,259",0.195
201,North Dakota (Summit League),113,12-18,"1,264",522,"3,815",0.194
202,Houston Baptist (Southland),118,17-15,"1,494",632,"4,432",0.194
203,Utah Valley (WAC),113,11-19,"1,354",619,"3,788",0.194
204,Dartmouth (Ivy League),89,10-15,"1,050",427,"3,211",0.194
205,UNC Asheville (Big South),90,13-13,"1,058",447,"3,156",0.194
206,Coppin St. (MEAC),114,13-18,"1,316",602,"3,691",0.193
207,Cleveland St. (Horizon),108,8-19,"1,328",556,"3,995",0.193
208,Bradley (MVC),119,15-15,"1,512",596,"4,745",0.193
209,UIC (Horizon),116,20-11,"1,537",692,"4,382",0.193
210,San Jose St. (Mountain West),107,10-19,"1,362",650,"3,693",0.193
211,Toledo (MAC),108,9-19,"1,277",525,"3,913",0.192
212,Loyola Maryland (Patriot),122,13-18,"1,643",738,"4,711",0.192
213,Prairie View (SWAC),136,17-21,"1,655",702,"4,961",0.192
214,South Fla. (AAC),113,7-23,"1,328",593,"3,832",0.192
215,Oregon St. (Pac-12),122,9-22,"1,527",710,"4,266",0.192
216,Tennessee Tech (OVC),112,13-17,"1,412",633,"4,072",0.191
217,Charleston So. (Big South),103,14-15,"1,238",584,"3,420",0.191
218,Louisiana (Sun Belt),110,14-16,"1,359",550,"4,236",0.191
219,Siena (MAAC),111,11-18,"1,376",617,"3,975",0.191
220,Lafayette (Patriot),125,13-19,"1,482",670,"4,255",0.191
221,Xavier (Big East),99,10-17,"1,184",509,"3,539",0.191
222,TCU (Big 12),93,9-17,"1,154",557,"3,139",0.19
223,FIU (C-USA),103,10-16,"1,306",619,"3,614",0.19
224,Arkansas (SEC),113,11-19,"1,374",654,"3,796",0.19
225,Abilene Christian (Southland),93,7-19,"1,054",449,"3,191",0.19
226,Nevada (Mountain West),114,17-13,"1,430",642,"4,165",0.189
227,SIUE (OVC),112,14-15,"1,396",612,"4,164",0.188
228,New Mexico (Mountain West),115,11-19,"1,343",604,"3,927",0.188
229,Saint Mary's (CA) (WCC),106,11-17,"1,232",551,"3,627",0.188
230,Oral Roberts (Summit League),123,8-23,"1,453",637,"4,352",0.188
231,Kansas (Big 12),96,9-17,"1,102",510,"3,165",0.187
232,Delaware St. (MEAC),110,11-18,"1,274",610,"3,551",0.187
233,Indiana (Big Ten),126,14-19,"1,503",685,"4,377",0.187
234,UConn (AAC),104,12-16,"1,233",557,"3,625",0.186
235,Duke (ACC),110,11-19,"1,334",610,"3,888",0.186
236,Gonzaga (WCC),110,11-19,"1,266",562,"3,783",0.186
237,McNeese (Southland),106,11-17,"1,270",575,"3,735",0.186
238,Sacramento St. (Big Sky),130,14-18,"1,619",742,"4,733",0.185
239,LIU (NEC),105,12-17,"1,257",589,"3,611",0.185
240,La.-Monroe (Sun Belt),112,12-20,"1,320",570,"4,078",0.184
241,Duquesne (Atlantic 10),94,10-17,"1,109",504,"3,292",0.184
242,Austin Peay (OVC),118,11-20,"1,479",695,"4,269",0.184
243,Butler (Big East),115,14-16,"1,369",608,"4,149",0.183
244,Middle Tenn. (C-USA),117,13-17,"1,425",687,"4,025",0.183
245,UT Martin (OVC),118,13-19,"1,460",701,"4,147",0.183
246,Fordham (Atlantic 10),106,12-14,"1,239",515,"3,968",0.182
247,Rider (MAAC),115,15-16,"1,434",680,"4,139",0.182
248,Evansville (MVC),117,16-14,"1,527",685,"4,627",0.182
249,Elon (CAA),129,14-18,"1,583",760,"4,528",0.182
250,Texas Southern (SWAC),94,10-16,"1,119",549,"3,144",0.181
