Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US54107,54107,ZCTA5 54107,3727,78,0,78,3649,0
8600000US54110,54110,ZCTA5 54110,5338,2968,0,2968,2370,0
8600000US54111,54111,ZCTA5 54111,2132,515,0,515,1617,0
8600000US54112,54112,ZCTA5 54112,2284,0,0,0,2284,0
8600000US54113,54113,ZCTA5 54113,3325,3325,3325,0,0,0
8600000US54114,54114,ZCTA5 54114,5178,0,0,0,5178,0
8600000US54115,54115,ZCTA5 54115,41178,31938,31938,0,9240,0
8600000US54119,54119,ZCTA5 54119,1083,0,0,0,1083,0
8600000US54120,54120,ZCTA5 54120,245,0,0,0,245,0
8600000US54121,54121,ZCTA5 54121,2982,0,0,0,2982,0
8600000US54123,54123,ZCTA5 54123,238,0,0,0,238,0
8600000US54124,54124,ZCTA5 54124,3881,0,0,0,3881,0
8600000US54125,54125,ZCTA5 54125,519,0,0,0,519,0
8600000US54126,54126,ZCTA5 54126,3625,0,0,0,3625,0
8600000US54127,54127,ZCTA5 54127,76,0,0,0,76,0
8600000US54128,54128,ZCTA5 54128,1778,0,0,0,1778,0
8600000US54129,54129,ZCTA5 54129,3477,0,0,0,3477,0
8600000US54130,54130,ZCTA5 54130,25108,16899,16899,0,8209,0
8600000US54135,54135,ZCTA5 54135,3096,0,0,0,3096,0
8600000US54136,54136,ZCTA5 54136,6406,6406,6406,0,0,0
8600000US54137,54137,ZCTA5 54137,1115,0,0,0,1115,0
8600000US54138,54138,ZCTA5 54138,821,0,0,0,821,0
8600000US54139,54139,ZCTA5 54139,3096,0,0,0,3096,0
8600000US54140,54140,ZCTA5 54140,8533,8533,8533,0,0,0
8600000US54141,54141,ZCTA5 54141,2549,132,132,0,2417,0
8600000US54143,54143,ZCTA5 54143,15225,10862,0,10862,4363,0
8600000US54149,54149,ZCTA5 54149,1184,0,0,0,1184,0
8600000US54150,54150,ZCTA5 54150,1037,0,0,0,1037,0
8600000US54151,54151,ZCTA5 54151,3556,1634,0,1634,1922,0
8600000US54153,54153,ZCTA5 54153,7252,4273,0,4273,2979,0
8600000US54154,54154,ZCTA5 54154,5548,2621,0,2621,2927,0
8600000US54155,54155,ZCTA5 54155,5451,1615,1615,0,3836,0
8600000US54156,54156,ZCTA5 54156,1535,0,0,0,1535,0
8600000US54157,54157,ZCTA5 54157,5986,3440,0,3440,2546,0
8600000US54159,54159,ZCTA5 54159,1434,0,0,0,1434,0
8600000US54160,54160,ZCTA5 54160,253,0,0,0,253,0
8600000US54161,54161,ZCTA5 54161,2696,0,0,0,2696,0
8600000US54162,54162,ZCTA5 54162,9065,3363,0,3363,5702,0
8600000US54165,54165,ZCTA5 54165,7539,3500,0,3500,4039,0
8600000US54166,54166,ZCTA5 54166,17002,9934,0,9934,7068,0
8600000US54169,54169,ZCTA5 54169,2600,2475,2475,0,125,0
8600000US54170,54170,ZCTA5 54170,3730,0,0,0,3730,0
8600000US54171,54171,ZCTA5 54171,3362,0,0,0,3362,0
