zip,urban,rural,population,p_urban
54653,0,894,894,0
54654,0,153,153,0
54655,0,1778,1778,0
54656,9907,7470,17377,0.5701214248719572
54657,0,411,411,0
54658,233,2268,2501,0.09316273490603759
54659,0,1409,1409,0
54660,9002,6686,15688,0.573814380418154
54661,0,3415,3415,0
54664,0,1516,1516,0
54665,4097,4330,8427,0.4861753886317788
54666,0,2593,2593,0
54667,0,4599,4599,0
54669,5309,2310,7619,0.6968106050662817
54670,0,1878,1878,0
54701,33205,5598,38803,0.8557328041646265
54703,38138,4134,42272,0.9022047691143074
54720,7037,2,7039,0.9997158687313539
54721,0,1373,1373,0
54722,0,4016,4016,0
54723,0,1191,1191,0
54724,3348,3826,7174,0.4666852522999721
54725,0,2897,2897,0
54726,0,1690,1690,0
54727,79,4836,4915,0.01607324516785351
54728,2700,3439,6139,0.4398110441439974
54729,24393,7076,31469,0.7751437923035368
54730,401,4502,4903,0.0817866612278197
54731,0,802,802,0
54732,0,2924,2924,0
54733,0,1340,1340,0
54734,0,856,856,0
54736,0,4127,4127,0
54737,0,487,487,0
54738,0,3149,3149,0
54739,0,4950,4950,0
54740,0,2056,2056,0
54741,0,1577,1577,0
54742,0,4459,4459,0
54745,0,2261,2261,0
54746,0,746,746,0
54747,0,2534,2534,0
54748,0,1217,1217,0
54749,0,1231,1231,0
54750,0,1062,1062,0
54751,17443,8199,25642,0.6802511504562827
54754,0,1552,1552,0
54755,0,7502,7502,0
54756,0,916,916,0
54757,0,3314,3314,0
54758,0,4626,4626,0
54759,0,1533,1533,0
54760,0,255,255,0
54761,0,1216,1216,0
54762,0,1246,1246,0
54763,0,1134,1134,0
54765,0,24,24,0
54766,0,1707,1707,0
54767,0,3221,3221,0
54768,3447,2543,5990,0.5754590984974959
54769,0,502,502,0
54770,0,2101,2101,0
54771,0,4286,4286,0
54772,0,1103,1103,0
54773,0,3336,3336,0
54801,2673,3820,6493,0.4116741105806253
54805,0,1471,1471,0
54806,7293,4517,11810,0.6175275190516512
54810,0,2512,2512,0
54812,3292,2436,5728,0.57472067039106145
54813,0,601,601,0
54814,0,2478,2478,0
54817,0,2188,2188,0
54819,0,2544,2544,0
54820,0,864,864,0
54821,0,1276,1276,0
54822,137,4379,4516,0.030336581045172718
54824,0,2271,2271,0
54826,0,807,807,0
54827,0,221,221,0
54828,0,678,678,0
54829,0,5236,5236,0
54830,0,2752,2752,0
54832,0,412,412,0
54835,0,1018,1018,0
54836,0,1080,1080,0
54837,0,3778,3778,0
54838,0,1103,1103,0
54839,0,302,302,0
54840,0,4643,4643,0
54841,0,259,259,0
54842,0,185,185,0
54843,2616,8871,11487,0.22773570122747452
54844,0,267,267,0
54845,0,147,147,0
54846,0,547,547,0
54847,0,2222,2222,0
54848,3449,2692,6141,0.5616349128806384
54849,0,1967,1967,0
54850,0,261,261,0
54853,0,4009,4009,0
54854,0,990,990,0
54855,0,774,774,0
54856,0,1616,1616,0
54857,0,62,62,0
54858,0,1518,1518,0
54859,0,1896,1896,0
54861,0,150,150,0
54862,0,261,261,0
54864,0,1322,1322,0
54865,0,440,440,0
54867,0,435,435,0
54868,9500,6012,15512,0.612429087158329
54870,0,1486,1486,0
54871,0,3105,3105,0
54872,0,2581,2581,0
54873,0,2799,2799,0
54874,142,3504,3646,0.038946791003839826
54875,0,1055,1055,0
54876,0,1551,1551,0
54880,26903,3869,30772,0.8742688158065774
54888,0,1345,1345,0
54889,0,2742,2742,0
54891,0,3389,3389,0
54893,0,3767,3767,0
54895,0,910,910,0
54896,0,1478,1478,0
54901,37274,436,37710,0.9884380800848581
54902,20454,1921,22375,0.914145251396648
54904,16388,4235,20623,0.7946467536245939
54909,0,2181,2181,0
54911,26674,0,26674,1
54913,10880,6749,17629,0.6171648987463838
54914,30200,275,30475,0.9909762100082035
54915,41772,83,41855,0.9980169633257675
54921,0,1326,1326,0
54922,0,1514,1514,0
54923,4891,3842,8733,0.5600595442574144
54927,538,0,538,1
54928,0,450,450,0
54929,4481,4265,8746,0.5123485021724217
54930,0,1786,1786,0
54931,0,260,260,0
54932,0,1185,1185,0
54933,0,231,231,0
54934,0,148,148,0
54935,41450,201,41651,0.9951741854937457
54937,11805,7307,19112,0.6176747593135203
54940,0,4020,4020,0
54941,0,2613,2613,0
54942,6419,2161,8580,0.7481351981351981
54943,0,1923,1923,0
54944,98,8159,8257,0.011868717451859028
54945,0,3545,3545,0
54946,108,0,108,1
54947,0,2601,2601,0
54948,0,320,320,0
54949,0,3430,3430,0
54950,0,3083,3083,0
54952,24940,789,25729,0.9693342143107
54956,37533,5163,42696,0.8790753232152895
54960,0,2800,2800,0
54961,7643,6623,14266,0.5357493340810319
54962,0,1110,1110,0
54963,3358,3559,6917,0.4854705797310973
54964,0,1022,1022,0
54965,0,1344,1344,0
54966,0,2008,2008,0
54967,0,434,434,0
54968,0,2779,2779,0
54970,0,3902,3902,0
54971,7930,2897,10827,0.732428188787291
54974,0,1581,1581,0
54977,0,1337,1337,0
54979,117,1355,1472,0.07948369565217392
54980,0,149,149,0
54981,7647,7779,15426,0.4957215091404123
54982,2573,4544,7117,0.36152873401714203
54983,0,4642,4642,0
54984,0,2989,2989,0
54985,836,0,836,1
54986,2991,1779,4770,0.6270440251572327
